List,Sector,Short Form,Category,For TV,Market Cap,,Ticker,Cap Type,,,,SNo,Stategy,Flagship 40 (F40),Emerging 40 (E40),Smartpick 200 (S200),All listed,,List,Method,Cap,LIst Update,Volatality,Reward,Priority in Opportunity
,,,,,,,544272,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHEETAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,APRAMEYA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540956,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DJML,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SPENCERS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MUTHOOTCAP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VGINFOTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531652,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544740,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BELLACASA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VGL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AARTISURF,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NATHBIOGEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SYSTANGO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAHYADRI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500012,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INFINIUM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MODIRUBBER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAHEPC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAVY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HPAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ADISOFT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,530219,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ALLETEC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RHL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,YASHOPTICS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MANOMAY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GENUSPAPER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544453,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MEGASTAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538786,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,id,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,REMSONSIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544695,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539546,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,541741,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JKIPL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539834,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAHAJSOLAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543806,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540082,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526721,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ARHAM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CPEDU,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AVONMORE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BIRLAPREC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BAFNAPH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NILAINFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUBAHOTELS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544551,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544213,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540728,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512399,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,524622,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,532016,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HPTL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544080,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PHANTOMFX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539479,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BRANDMAN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512026,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539132,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,APOLSINHOT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543746,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ESFL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VARDMNPOLY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,514324,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CMNL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHREEKARNI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GRCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JAINAM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DHARIWAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544529,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531739,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526071,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,535916,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ANNAPURNA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,COMMITTED,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544501,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CHAVDA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,524444,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544330,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540404,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHANKARA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538537,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MENNPIS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SKP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CORDSCABLE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,POLYSIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASHIMASYN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544440,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512600,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543616,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544248,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MASON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TECHERA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MERCANTILE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PSRAJ,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OLIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544684,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ECOLINE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PPAP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AXITA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUNDRMBRAK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RNBDENIMS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHEMAROO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EXXARO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531237,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,COOLCAPS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,509470,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OILCOUNTUB,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OMFREIGHT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AVG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PELATRO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,530215,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500270,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PUSHPA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544335,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DYNPRO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526407,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HITECHCORP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AHLEAST,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TRANSTEEL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UFO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540175,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544219,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531412,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,508875,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BLUEWATER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ESSENTIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,532039,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EMPOWER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AKIKO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GSMFOILS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHRADHA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KRISHCA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UYFINCORP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SATKARTAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543531,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,524723,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASCOM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539337,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,530977,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DCMNVL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KCPSUGIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASAHISONG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAPPL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAKUMA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAWALIYA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,530163,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539788,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,523449,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,533167,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VIKASLIFE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CINELINE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,505750,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NIPPOBATRY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ARIHANTACA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539922,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512103,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,504084,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ACTIVEINFR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CUDML,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BPL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HALDER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,507265,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SPUNWEB,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SRD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,533608,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,505285,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,APEXECO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544383,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EFACTOR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TRF,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DPWIRES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526717,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526739,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,532344,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NOVAAGRI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GCHOTELS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500069,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PODDARMENT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AARON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543982,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,532090,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,A2ZINFRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PAVNAIND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PROPEQUITY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PONNIERODE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BCONCEPTS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GLOBECIVIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,542332,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NURECA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,541353,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FCSSOFT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UNIVASTU,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NDGL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544435,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PKTEA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,523586,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,UNITEDTEA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543737,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526747,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DUGLOBAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,541701,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DELPHIFX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543391,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,522273,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOLDKART,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MADHUSUDAN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512527,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,524790,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544090,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,518075,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500213,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,517514,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512361,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KMSUGAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CKKRETAIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GEEKAYWIRE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,504746,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SILGO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BALAJEE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CLEDUCATE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ELGIRUBCO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,id,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RCOM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544166,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,519606,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TAURIAN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHARDUL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531281,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AMBALALSA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543997,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531253,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DIAMINESQ,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STARTECK,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,535621,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543939,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ALANKIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,517096,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,542679,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SSDL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RRIL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RVTH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BAGDIGITAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SURANAT&P,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544682,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,517246,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JAYSREETEA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544510,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526169,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544409,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DYNAMIC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ALMONDZ,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543284,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531173,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500449,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PRATHAM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,OWAIS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VMSTMT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,522091,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHIVAMAUTO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HOACFOODS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,514010,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FROG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GLOBALVECT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500422,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,501151,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VOLERCAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,539112,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VIPCLOTHNG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531279,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NECLIFE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544568,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INTENTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BALAJIPHOS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VIKASECO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,500143,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,INM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,532320,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544112,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IVC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,504093,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543241,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,509162,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SCANSTL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MARALOVER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PRITIKAUTO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AAREYDRUGS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AERONEU,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SONAMLTD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FINBUD,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KALYANIFRG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MANAKALUCO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MACOBSTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAHICKRA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GENCON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531041,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GSLSU,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CHEMBOND,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,508941,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RVHL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MAGSON,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,506640,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,522292,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,505216,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VISAMAN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LOTUSEYE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,TEAMGTY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543376,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DSFCL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,IWP,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,NAGAFERT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CPS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SILKFLEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,MADHAVIPL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LLOYDS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VSTL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CURRENT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544535,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540829,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHIVASHRIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,526723,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASMS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,WTICAB,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540097,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CSSL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PRAMARA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,531694,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOLDTECH,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SICAGEN,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,524174,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544735,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,530495,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544755,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,PIGL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540198,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,513043,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,506863,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,BIMETAL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,505712,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,STARPAPER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ACETEC,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,LYKALABS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538890,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543799,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540151,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,DRCSYSTEMS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,541144,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAHLIBHFI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RBS,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,CCHHL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SINTERCOM,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SHIVATEX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,AGARWALTUF,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KATARIA,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SPCENET,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544665,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538882,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544460,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,VETO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,540078,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EXIMROUTES,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,JAYBEE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538476,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538713,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SUMIT,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,HVAX,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,502015,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,513353,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,FIDEL,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,544431,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,543172,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,SAKHTISUG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,KOTARISUG,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ASHWINI,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RADIOCITY,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,EMAPARTNER,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GRAVISSHO,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,GOLDSTAR,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,507998,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,532425,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,RACE,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,511557,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,512345,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,538970,Small Cap,,,,,,,,,,,,,,,,,
,,,,,,,ZODIACLOTH,Small Cap,,,,,,,,,,,,,,,,,
