List,Sector,Short Form,Category,For TV,Market Cap,,Ticker,Cap Type,,,,SNo,Stategy,Flagship 40 (F40),Emerging 40 (E40),Smartpick 200 (S200),All listed,,List,Method,Cap,LIst Update,Volatality,Reward,Priority in Opportunity
VBL,Normal,S200,Smartpick 200,"VBL,",Large Cap,,INDIANB,Large Cap,,,,,,,,,,,,,,,,,
DIVISLAB,Normal,S200,Smartpick 200,"DIVISLAB,",Large Cap,,DRREDDY,Large Cap,,,,,,,,,,,,,,,,,
BSE,Normal,S200,Smartpick 200,"BSE,",Large Cap,,GAIL,Small Cap,,,,,,,,,,,,,,,,,
SOLARINDS,Normal,S200,Smartpick 200,"SOLARINDS,",Large Cap,,AMBUJACEM,Mid Cap,,,,,,,,,,,,,,,,,
ICICIAMC,Normal,S200,Smartpick 200,"ICICIAMC,",Large Cap,,ZYDUSLIFE,Mid Cap,,,,,,,,,,,,,,,,,
POWERINDIA,Normal,S200,Smartpick 200,"POWERINDIA,",Large Cap,,BOSCHLTD,Mid Cap,,,,,,,,,,,,,,,,,
HYUNDAI,Normal,S200,Smartpick 200,"HYUNDAI,",Large Cap,,MARICO,Mid Cap,,,,,,,,,,,,,,,,,
PIDILITIND,Normal,S200,Smartpick 200,"PIDILITIND,",Large Cap,,LUPIN,Mid Cap,,,,,,,,,,,,,,,,,
CUMMINSIND,Normal,S200,Smartpick 200,"CUMMINSIND,",Large Cap,,GODREJCP,Mid Cap,,,,,,,,,,,,,,,,,
ABB,Normal,S200,Smartpick 200,"ABB,",Large Cap,,LGEINDIA,Mid Cap,,,,,,,,,,,,,,,,,
POLYCAB,Normal,S200,Smartpick 200,"POLYCAB,",Large Cap,,GMRAIRPORT,Mid Cap,,,,,,,,,,,,,,,,,
TECHM,Normal,S200,Smartpick 200,"TECHM,",Large Cap,,MANKIND,Mid Cap,,,,,,,,,,,,,,,,,
CGPOWER,Normal,S200,Smartpick 200,"CGPOWER,",Large Cap,,LLOYDSME,Mid Cap,,,,,,,,,,,,,,,,,
SIEMENS,Normal,S200,Smartpick 200,"SIEMENS,",Large Cap,,MAZDOCK,Mid Cap,,,,,,,,,,,,,,,,,
BRITANNIA,Normal,S200,Smartpick 200,"BRITANNIA,",Large Cap,,HEROMOTOCO,Mid Cap,,,,,,,,,,,,,,,,,
ENRIN,Normal,S200,Smartpick 200,"ENRIN,",Large Cap,,JSWENERGY,Mid Cap,,,,,,,,,,,,,,,,,
GVT&D,Normal,S200,Smartpick 200,"GVT&D,",Large Cap,,MAXHEALTH,Mid Cap,,,,,,,,,,,,,,,,,
GROWW,Normal,S200,Smartpick 200,"GROWW,",Large Cap,,ASHOKLEY,Mid Cap,,,,,,,,,,,,,,,,,
LTM,Normal,S200,Smartpick 200,"LTM,",Large Cap,,ABCAPITAL,Mid Cap,,,,,,,,,,,,,,,,,
HDFCAMC,Normal,S200,Smartpick 200,"HDFCAMC,",Large Cap,,INDHOTEL,Mid Cap,,,,,,,,,,,,,,,,,
CIPLA,Normal,S200,Smartpick 200,"CIPLA,",Large Cap,,UNITDSPR,Mid Cap,,,,,,,,,,,,,,,,,
DRREDDY,Normal,S200,Smartpick 200,"DRREDDY,",Large Cap,,ICICIGI,Mid Cap,,,,,,,,,,,,,,,,,
BOSCHLTD,Normal,S200,Smartpick 200,"BOSCHLTD,",Mid Cap,,BHARATFORG,Mid Cap,,,,,,,,,,,,,,,,,
MARICO,Normal,S200,Smartpick 200,"MARICO,",Mid Cap,,SHREECEM,Mid Cap,,,,,,,,,,,,,,,,,
LUPIN,Normal,S200,Smartpick 200,"LUPIN,",Mid Cap,,LODHA,Mid Cap,,,,,,,,,,,,,,,,,
LGEINDIA,Normal,S200,Smartpick 200,"LGEINDIA,",Mid Cap,,MEESHO,Mid Cap,,,,,,,,,,,,,,,,,
MAZDOCK,Normal,S200,Smartpick 200,"MAZDOCK,",Mid Cap,,RECLTD,Mid Cap,,,,,,,,,,,,,,,,,
HEROMOTOCO,Normal,S200,Smartpick 200,"HEROMOTOCO,",Mid Cap,,LENSKART,Mid Cap,,,,,,,,,,,,,,,,,
INDHOTEL,Normal,S200,Smartpick 200,"INDHOTEL,",Mid Cap,,NTPCGREEN,Mid Cap,,,,,,,,,,,,,,,,,
UNITDSPR,Normal,S200,Smartpick 200,"UNITDSPR,",Mid Cap,,WAAREEENER,Mid Cap,,,,,,,,,,,,,,,,,
ICICIGI,Normal,S200,Smartpick 200,"ICICIGI,",Mid Cap,,HINDPETRO,Mid Cap,,,,,,,,,,,,,,,,,
WAAREEENER,Normal,S200,Smartpick 200,"WAAREEENER,",Mid Cap,,MCX,Mid Cap,,,,,,,,,,,,,,,,,
MCX,Normal,S200,Smartpick 200,"MCX,",Mid Cap,,AUROPHARMA,Mid Cap,,,,,,,,,,,,,,,,,
AUROPHARMA,Normal,S200,Smartpick 200,"AUROPHARMA,",Mid Cap,,OFSS,Mid Cap,,,,,,,,,,,,,,,,,
OFSS,Normal,S200,Smartpick 200,"OFSS,",Mid Cap,,POLICYBZR,Mid Cap,,,,,,,,,,,,,,,,,
PERSISTENT,Normal,S200,Smartpick 200,"PERSISTENT,",Mid Cap,,SAIL,Mid Cap,,,,,,,,,,,,,,,,,
DABUR,Normal,S200,Smartpick 200,"DABUR,",Mid Cap,,SRF,Mid Cap,,,,,,,,,,,,,,,,,
NMDC,Normal,S200,Smartpick 200,"NMDC,",Mid Cap,,PERSISTENT,Mid Cap,,,,,,,,,,,,,,,,,
HAVELLS,Normal,S200,Smartpick 200,"HAVELLS,",Mid Cap,,NHPC,Mid Cap,,,,,,,,,,,,,,,,,
NATIONALUM,Normal,S200,Smartpick 200,"NATIONALUM,",Mid Cap,,DABUR,Mid Cap,,,,,,,,,,,,,,,,,
SUZLON,Normal,S200,Smartpick 200,"SUZLON,",Mid Cap,,NMDC,Mid Cap,,,,,,,,,,,,,,,,,
DIXON,Normal,S200,Smartpick 200,"DIXON,",Mid Cap,,IDBI,Mid Cap,,,,,,,,,,,,,,,,,
NAM-INDIA,Normal,S200,Smartpick 200,"NAM-INDIA,",Mid Cap,,OIL,Mid Cap,,,,,,,,,,,,,,,,,
GICRE,Normal,S200,Smartpick 200,"GICRE,",Mid Cap,,BHARTIHEXA,Mid Cap,,,,,,,,,,,,,,,,,
GLENMARK,Normal,S200,Smartpick 200,"GLENMARK,",Mid Cap,,NYKAA,Mid Cap,,,,,,,,,,,,,,,,,
ALKEM,Normal,S200,Smartpick 200,"ALKEM,",Mid Cap,,ICICIPRULI,Mid Cap,,,,,,,,,,,,,,,,,
SCHAEFFLER,Normal,S200,Smartpick 200,"SCHAEFFLER,",Mid Cap,,HAVELLS,Mid Cap,,,,,,,,,,,,,,,,,
OBEROIRLTY,Normal,S200,Smartpick 200,"OBEROIRLTY,",Mid Cap,,AUBANK,Mid Cap,,,,,,,,,,,,,,,,,
LINDEINDIA,Normal,S200,Smartpick 200,"LINDEINDIA,",Mid Cap,,TORNTPOWER,Mid Cap,,,,,,,,,,,,,,,,,
JSL,Normal,S200,Smartpick 200,"JSL,",Mid Cap,,NATIONALUM,Mid Cap,,,,,,,,,,,,,,,,,
COFORGE,Normal,S200,Smartpick 200,"COFORGE,",Mid Cap,,SUZLON,Mid Cap,,,,,,,,,,,,,,,,,
TIINDIA,Normal,S200,Smartpick 200,"TIINDIA,",Mid Cap,,FORTIS,Mid Cap,,,,,,,,,,,,,,,,,
ABBOTINDIA,Normal,S200,Smartpick 200,"ABBOTINDIA,",Mid Cap,,LAURUSLABS,Mid Cap,,,,,,,,,,,,,,,,,
BERGEPAINT,Normal,S200,Smartpick 200,"BERGEPAINT,",Mid Cap,,ATGL,Mid Cap,,,,,,,,,,,,,,,,,
COLPAL,Normal,S200,Smartpick 200,"COLPAL,",Mid Cap,,INDUSINDBK,Mid Cap,,,,,,,,,,,,,,,,,
VMM,Normal,S200,Smartpick 200,"VMM,",Mid Cap,,DIXON,Mid Cap,,,,,,,,,,,,,,,,,
MRF,Normal,S200,Smartpick 200,"MRF,",Mid Cap,,FEDERALBNK,Mid Cap,,,,,,,,,,,,,,,,,
COROMANDEL,Normal,S200,Smartpick 200,"COROMANDEL,",Mid Cap,,PAYTM,Mid Cap,,,,,,,,,,,,,,,,,
THERMAX,Normal,S200,Smartpick 200,"THERMAX,",Mid Cap,,NAM-INDIA,Mid Cap,,,,,,,,,,,,,,,,,
HINDCOPPER,Normal,S200,Smartpick 200,"HINDCOPPER,",Mid Cap,,LTF,Mid Cap,,,,,,,,,,,,,,,,,
APLAPOLLO,Normal,S200,Smartpick 200,"APLAPOLLO,",Mid Cap,,YESBANK,Mid Cap,,,,,,,,,,,,,,,,,
PATANJALI,Normal,S200,Smartpick 200,"PATANJALI,",Mid Cap,,BIOCON,Mid Cap,,,,,,,,,,,,,,,,,
KEI,Normal,S200,Smartpick 200,"KEI,",Mid Cap,,BAJAJHFL,Mid Cap,,,,,,,,,,,,,,,,,
APARINDS,Normal,S200,Smartpick 200,"APARINDS,",Mid Cap,,SWIGGY,Mid Cap,,,,,,,,,,,,,,,,,
BDL,Normal,S200,Smartpick 200,"BDL,",Mid Cap,,GICRE,Mid Cap,,,,,,,,,,,,,,,,,
RADICO,Normal,S200,Smartpick 200,"RADICO,",Mid Cap,,BANKINDIA,Mid Cap,,,,,,,,,,,,,,,,,
SUPREMEIND,Normal,S200,Smartpick 200,"SUPREMEIND,",Mid Cap,,GLENMARK,Mid Cap,,,,,,,,,,,,,,,,,
PIIND,Normal,S200,Smartpick 200,"PIIND,",Mid Cap,,IOB,Mid Cap,,,,,,,,,,,,,,,,,
ANTHEM,Normal,S200,Smartpick 200,"ANTHEM,",Mid Cap,,PHOENIXLTD,Mid Cap,,,,,,,,,,,,,,,,,
IRCTC,Normal,S200,Smartpick 200,"IRCTC,",Mid Cap,,UNOMINDA,Mid Cap,,,,,,,,,,,,,,,,,
PAGEIND,Normal,S200,Smartpick 200,"PAGEIND,",Mid Cap,,ALKEM,Mid Cap,,,,,,,,,,,,,,,,,
MPHASIS,Normal,S200,Smartpick 200,"MPHASIS,",Mid Cap,,SCHAEFFLER,Mid Cap,,,,,,,,,,,,,,,,,
AIIL,Normal,S200,Smartpick 200,"AIIL,",Mid Cap,,MAHABANK,Mid Cap,,,,,,,,,,,,,,,,,
PETRONET,Normal,S200,Smartpick 200,"PETRONET,",Mid Cap,,OBEROIRLTY,Mid Cap,,,,,,,,,,,,,,,,,
ASTRAL,Normal,S200,Smartpick 200,"ASTRAL,",Mid Cap,,LINDEINDIA,Mid Cap,,,,,,,,,,,,,,,,,
COCHINSHIP,Normal,S200,Smartpick 200,"COCHINSHIP,",Mid Cap,,NAUKRI,Mid Cap,,,,,,,,,,,,,,,,,
IPCALAB,Normal,S200,Smartpick 200,"IPCALAB,",Mid Cap,,PRESTIGE,Mid Cap,,,,,,,,,,,,,,,,,
ENDURANCE,Normal,S200,Smartpick 200,"ENDURANCE,",Mid Cap,,JSL,Mid Cap,,,,,,,,,,,,,,,,,
CONCOR,Normal,S200,Smartpick 200,"CONCOR,",Mid Cap,,COFORGE,Mid Cap,,,,,,,,,,,,,,,,,
GLAXO,Normal,S200,Smartpick 200,"GLAXO,",Mid Cap,,SBICARD,Mid Cap,,,,,,,,,,,,,,,,,
AJANTPHARM,Normal,S200,Smartpick 200,"AJANTPHARM,",Mid Cap,,IDFCFIRSTB,Mid Cap,,,,,,,,,,,,,,,,,
GLAND,Normal,S200,Smartpick 200,"GLAND,",Mid Cap,,MFSL,Mid Cap,,,,,,,,,,,,,,,,,
3MINDIA,Normal,S200,Smartpick 200,"3MINDIA,",Mid Cap,,TIINDIA,Mid Cap,,,,,,,,,,,,,,,,,
LTTS,Normal,S200,Smartpick 200,"LTTS,",Mid Cap,,ABBOTINDIA,Mid Cap,,,,,,,,,,,,,,,,,
AIAENG,Normal,S200,Smartpick 200,"AIAENG,",Mid Cap,,BERGEPAINT,Mid Cap,,,,,,,,,,,,,,,,,
SONACOMS,Normal,S200,Smartpick 200,"SONACOMS,",Mid Cap,,JSWINFRA,Mid Cap,,,,,,,,,,,,,,,,,
GODFRYPHLP,Normal,S200,Smartpick 200,"GODFRYPHLP,",Mid Cap,,FACT,Mid Cap,,,,,,,,,,,,,,,,,
JBCHEPHARM,Normal,S200,Smartpick 200,"JBCHEPHARM,",Mid Cap,,COLPAL,Mid Cap,,,,,,,,,,,,,,,,,
WELCORP,Normal,S200,Smartpick 200,"WELCORP,",Small Cap,,RVNL,Mid Cap,,,,,,,,,,,,,,,,,
